Mate,NAME,Pos.#,Barcode,Length,Width,Thickness,Length2,Width2,Thickness2,Top,Bottom,Edge 1,Edge 2,Edge 3,Edge 4,Qty
CC_HDH_6_8134_BS,Back Panel,01.26Y111T1F2B4_1025,26Y111T1F2B4_1025,232,690.5,6,232,690.5,1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,""" """,""" """,""" """,""" """,1
CP_HDR34_8023_BS,Fixed Shelf,02.26Y111T1F2C4_1015,26Y111T1F2C4_1015,1050,158,34,1050.4,158.4,1,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,1
CC_HDH_6_8134_BS,Back Panel,01.26Y111T1F2C4_1017,26Y111T1F2C4_1017,232,340.5,6,232,340.5,1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,""" """,""" """,""" """,""" """,1
CC_HDH_6_8134_BS,Back Panel,01.26Y111T1F2C4_1019,26Y111T1F2C4_1019,232,340.5,6,232,340.5,1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,""" """,""" """,""" """,""" """,1
CP_HDR34_8023_BS,Fixed Shelf,04.26Y111T1F2C3_1124,26Y111T1F2C3_1124,700,158,34,700.4,158.4,1,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,1
CC_HDH_6_8134_BS,Bed Bottom,01.26Y111T1F2C3_1020,26Y111T1F2C3_1020,822,1839,6,822,1839,1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,""" """,""" """,""" """,""" """,1
CC_HDH_6_8134_BS,Bed Bottom,01.26Y111T1F2C3_1046,26Y111T1F2C3_1046,822,1839,6,822,1839,1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,""" """,""" """,""" """,""" """,1
CC_HDH_6_8134_BS,Drawer Bottom,03.26Y111T1F2C3_1117,26Y111T1F2C3_1117,616,276,6,616,276,1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,""" """,""" """,""" """,""" """,1
CC_HDH_6_8134_BS,Bed Bottom,01.26Y111T1F3A3_1020,26Y111T1F3A3_1020,822,1839,6,822,1839,1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,""" """,""" """,""" """,""" """,1
CC_HDH_6_8134_BS,Bed Bottom,01.26Y111T1F3A3_1046,26Y111T1F3A3_1046,822,1839,6,822,1839,1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,""" """,""" """,""" """,""" """,1
CC_HDH_6_8134_BS,Drawer Bottom,03.26Y111T1F3A3_1093,26Y111T1F3A3_1093,214,326,6,214,326,1,CB_8134_FABRIC_WHT_MAT,CB_8134_FABRIC_WHT_MAT,""" """,""" """,""" """,""" """,1
CP_HDR34_8023_BS,Fixed Shelf,02.26Y111T1F3A4_1015,26Y111T1F3A4_1015,1050,158,34,1050.4,158.4,1,CB_8023_MOCHA_BROWN_MATT,CB_8023_MOCHA_BROWN_MATT,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,RE_75633_PINE_NUT_2MM,1
